167.7	-44.24	12	4.6
165.9	-47.35	33	4.7
166.39	-46.36	33	4.2
174.09	-39.78	122	4
163.58	-48.13	33	4.7
166.28	-46.02	33	4.1
174.1	-39.63	111	4
166.69	-46.4	12	4.7
174.13	-39.87	216	4.7
173.75	-39.24	12	4.2
164.2	-48.65	33	4.1
143.8	-54.7	33	5.2
166.61	-46.53	12	4.8
159.72	-52.57	33	6.6
173.79	-40.06	222	4.2
167.17	-44.49	12	4.3
164.43	-50.03	33	4.7
174.05	-39.76	154	4.2
173.48	-40.81	33	4
147.45	-55.79	33	5.2
167.46	-44.75	12	4
169.4	-46.75	12	4
174.08	-40.39	121	4
173.78	-40.16	167	4
166.52	-46.39	12	4.1
165.73	-46.19	33	5.2
166.01	-45.91	12	4.2
166.14	-46.31	12	4.1
170.6	-42.38	12	4.1
173.09	-39.75	12	4.1
166.05	-45.65	12	4.3
173.23	-43.23	33	4
140.83	-53.13	33	5
171.8	-41.55	12	4.3
166.92	-44.12	12	4
165.15	-47.15	33	4.3
157.6	-58.9	64	7
139.49	-51.03	33	6
158.86	-59	33	5.1
174.13	-39.78	132	4.1
173.56	-39.31	12	4.4
168.01	-44.17	12	4.4
173.43	-40.36	186	4.3
149.63	-59	21	5.4
171.97	-41.45	12	4.7
165.87	-46.21	12	4.3
173.77	-40.9	33	4.3
167.89	-43.94	33	4.1
163.42	-49.36	33	5.1
163.92	-48.95	33	4.8
166.93	-44.78	12	4.9
139.99	-52.8	33	4.8
173.9	-40.64	33	4
168.6	-43.89	33	4.6
166.37	-47.17	12	4
147.02	-54.37	33	5.4
163.95	-50.03	33	4.1
165.63	-45.91	33	4.5
167.44	-44.11	12	4
173.61	-40.21	12	4.2
166.73	-45.2	12	4.5
166.1	-45.74	12	4.3
166.71	-45.28	33	4.3
163.97	-49.19	33	4.1
166.6	-46.29	33	4.2
166.4	-45.29	33	5.5
166.98	-45.19	12	4.3
159.04	-53.32	33	5.9
166.6	-45.81	12	4.1
167.1	-45.29	12	4.3
139.55	-51.91	33	5.6
166.13	-47.08	33	4.9
173.52	-40.16	235	4.1
139.13	-50.74	33	5.4
165.13	-49.49	33	4.4
166.57	-46.3	12	4.1
166.93	-44.81	33	5
164.34	-49.64	33	4.3
167.28	-44.4	12	5.1
165.59	-47.08	12	4.4
167.7	-44.22	12	4
173.92	-40.87	66	5.3
164.29	-50.08	33	4.6
159.4	-53.93	33	5.8
173.34	-40.85	170	4.2
140.04	-52.8	33	5.6
147.39	-56.32	33	5.3
147.42	-56.27	33	5.9
173.64	-39.19	33	4.2
173.18	-40.54	170	4
173.27	-40.26	204	4.4
166.28	-46.19	33	5.5
164.48	-49.52	33	4.7
163.95	-49.91	33	4.6
165.4	-47.58	33	5.2
173.48	-40.36	209	4.2
173.51	-40.44	209	4
164.94	-49.14	12	5.6
167.63	-45.11	12	4.2
164.42	-49.65	33	4.1
140.21	-54.14	33	5.4
146.26	-55.46	33	5.7
163.63	-50.01	33	4.6
167.97	-44.4	12	4
167.91	-44.38	12	4.2
173.33	-40.36	197	4.9
173.89	-41.06	118	4.8
139.44	-51.82	33	5.2
173.79	-39.11	12	4.2
173.51	-39.51	12	4.4
173.47	-39.5	12	4
140.21	-53.12	33	5.1
173.53	-39.51	12	4.4
173.48	-39.57	12	4
173.49	-39.5	12	4
173.6	-39.91	152	4
174.05	-40.5	112	4
130.72	-50.37	33	4.8
167.67	-44.28	12	4.2
173.46	-39.48	33	4.3
166.41	-45.64	12	4
173.67	-39.54	12	4.4
174.01	-40.24	110	4.4
139.1	-50.8	33	6.3
173.69	-39.1	12	4
173.48	-39.5	37	4
167.48	-44.63	12	4.1
173.85	-40.16	12	4.1
173.58	-39.58	12	4.2
167.1	-44.32	12	4.3
173.82	-39.12	12	4
164.26	-48.41	33	5.9
163.48	-48.44	33	5.2
165.68	-47.58	33	4.4
165.3	-47.57	12	4.4
165.46	-47.79	12	4.5
165.3	-48.03	33	4.1
167.19	-44.59	12	4.2
164.52	-49.42	33	4.5
140.94	-53.68	33	4.8
166.37	-45.67	12	4.1
165.03	-47.69	33	4.7
166.13	-50.47	33	4.6
165.5	-46.08	33	4.7
150.16	-59.82	33	4.9
165.48	-47.77	33	4.5
163.91	-49.62	33	5
166.69	-45.27	12	4
167.49	-44.68	12	4.3
167.55	-44.58	12	4.9
149.25	-58.65	33	5.3
167.31	-44.68	12	4.2
167.56	-44.54	12	4.7
165.82	-46.16	12	4.1
173.62	-40.37	200	4
167.58	-44.55	12	4.7
165.26	-46.94	33	4.6
164.93	-47.3	33	5.6
165.14	-47.92	33	4.1
167.33	-44.46	33	4.8
165.98	-46.16	12	4.3
165.8	-46.13	12	4.3
173.61	-39.62	12	4.2
146.48	-57.9	33	5.1
167.11	-42.65	12	4.2
165.14	-48.2	12	4.2
173.51	-40.41	138	4.4
165.05	-49.95	33	4.3
162.65	-50.86	12	4.7
167.99	-44.29	12	4.2
173.42	-40.42	192	5.6
167.52	-44.58	12	4.3
167.59	-31.86	33	4.6
173.65	-27.91	33	5.1
173.76	-27.72	33	5.3
164.77	-49.08	33	4.6
163.46	-50.05	33	5.6
152.55	-23.34	19	4.8
147.33	-56.57	10	5.2
161.3	-52.03	10	5.6
165.7	-46.7	33	7.2
165.78	-46.7	15	5.5
164.41	-49.56	33	4.5
158.77	-54.26	10	5.8
158.53	-54.81	10	5.1
147.25	-55.83	10	6.4
146.94	-56.43	10	4.8
147.42	-55.49	10	5.1
146.93	-55.64	10	5
160.54	-52.75	10	5.1
140.09	-53.17	10	5
164.6	-48.73	33	4.5
173.71	-40.2	33	4.5
139.58	-50.28	10	5.2
127.22	-49.12	10	4.9
172.16	-27.78	33	5.6
164.49	-49.45	33	4.5
143.51	-54.44	10	5.5
172.9	-27.92	23	5.2
148.95	-58.82	10	5
163.21	-50.44	33	4.3
140.18	-53	10	4.9
155.51	-40.45	18	6
147.69	-56.69	10	5.3
146.06	-55.6	10	4.7
149.63	-59.58	10	4.9
155.44	-54.37	10	5.1
148.78	-59.72	10	5.2
146.44	-54.82	10	6.2
166.33	-45.99	31	5.6
164.69	-49.22	33	5
148.09	-59.46	10	4.6
147.33	-56.61	10	5.8
157.82	-57.63	33	4.7
147.15	-56.75	33	4.5
165.73	-48.46	33	4.2
165.78	-30.21	33	5.5
165.73	-30.5	33	5.1
139.77	-52.6	10	5.3
166.42	-30.18	33	4.7
159.01	-59.54	33	6.8
159.15	-59.43	33	5
158.6	-59.56	33	4.5
159.24	-59.53	10	4.6
139.53	-50.47	10	5.9
146.2	-56.4	33	4.9
173.84	-40.44	134	4.9
165.59	-47.14	33	4.6
143.38	-54.57	10	4.9
130.69	-50.2	10	5.2
148.78	-58.89	10	5.6
140.18	-53.48	10	5.1
160.57	-52.34	10	8.2
160.74	-52.12	10	5.4
159.89	-52.19	10	5
160.25	-52.65	10	4.8
160.87	-52.14	10	5.4
158.07	-50.24	10	5.5
158.85	-51.75	10	5.2
160.35	-52.36	10	5.2
159.67	-51.56	10	5.1
161.32	-51.82	10	4.9
161.2	-51.76	10	5.1
140.32	-52.81	10	5.4
160.41	-52.64	10	4.9
138.79	-52.05	10	5
162.59	-50.05	26	5.8
148.21	-57.65	10	5.9
165.28	-47.31	33	4.5
165.39	-47.69	33	4.4
